,finale,sentiment
17,cw kulit muka kulit wajah kulit terlupas kelupas aku rutin pake skinker baru nyoba sih pemakain minggu kulit muka ku jd kelupas gin wajar ga si ga gatel efek sih krn cocok makasih tco myazel,C
18,tw mentioning sexual harassment leceh seksual seriously asking cewek kalau rumah sendiri pake kaos lengan pendek celana paha boxer celana pendek hotpants gak salah kan wajar kan kalau misal pas pake pakai kayak gitu terus cont,C
19,jadi leceh bukan salah pakai kan apa kalau teras rumah ganti pakai tutup dulu,C
20,maen game landlord sim gak mau nnya dong pls ak bingung bgt bangun belah mana mau bikin tp bingung lahan nyaa ga tanda tco opix,C
21,kalian pihak pro kontra kalo anak ngelakuin salah orang tua hukum cara henti uang saku nya,C
22,guysss sorry mau nanya karna ga nemu jawab battery health aku ngurangin dlm waktu bulan aman ga sih emg cuma ngurangin cuma efek emg jd boros bgt sih jadi batrenyaa,C
23,guys mau tanyaa jadi laptop microsoft hilang kalo diinstal ulang kang service ngga microsoft,C
24,guys aku kan barang track order apknya tuh stuck jakarta doang tgl pas chat j n t nya paket aku malah bolak balik gin gimana butuh bgt barang tco,C
25,sorry gais mau nanya detail activity gdrive tuh gabisa hapus gaenak bgt liat nama aku ngespam gitu sana liat sama orang gak si plis kalo malu bgt,C
26,memori hp aku penuh bangettt kdang sampe tinggal mending filenya pindah gdrive apa laptop,C
27,kalau peluang diizinin nonton konser ga diizinin n diceramahin abcdxyz mending ttp nyoba izin yaudah terima ga usah nonton tp pgn nonton all akomodasitiket pake uang sendiri jgn saranin ga usah izin soal ak dr luar jkt takud knp,C
28,sender mau ajak tabib dipijet biar mata sender ga minus kira sender hrs stuju engga,C
29,saran merk powerbank oke buat konser dong sama klo kapasitas biasa berat bgt ga hpku ip makasih udah saranin,C
30,iphone pro max or iphone,C
31,kalian kalau makan rambut nenen tim mana a kerupuk doang b gula doang c kerupuk gula mkan bareng d kerupuk gula pisah e jawab tco iaqtqjircf,C
32,aku lg mau bellli ip second enak nanya aku bingung,C
33,guys kalian paket ind sat tuh kalau bel paket murah tuh mana sender ken beli cuman gb hari ga nya hari tia,C
34,makan mie yes no,C
35,guysss jadi mata minus silinder kanan kiri ga terlalu ganggu sebenernya lebih baik pake kacamata apa ngga,C
36,mending mana guys klo punya revi dong tco udjvuoqw,C
37,haloo temen temen sini make in ear monitor gak rekomendasi sama reviewnya terima kasih,C
38,baik waktu baterai sisa berapa persen jaga baterai health hp,C
39,buka rek baru bc expresi ngga buku tabung worth it ngga,C
40,aku baru pertama kali belanja socolla jadi gatau barang nya otw klik konfirmasi pesan klik nya pas barang nya udah tco,C
41,aku jadi sie acara buat bikin yearbook mending ambil rundown apa tema terus,C
42,wanita muslim kalau lelaki datang rumah ngajak kalian mau gak posisi kalian single kalo mau apa buat kalian mau,C
43,kalian kalo nawar gin gimana wajar ngga btw tco lkar,C
44,enak gmn klo ganti apk tu kesan rugi bgt aku soal gapernah makek tco,C
45,mau nanya kalo biaya cek sehat rs tuh brp ken nyoba periksa dulu pernah bikin surat sehat rs screening kata gejala aritmia ken coba cek takut mahal,C
46,ig udah aman bom yak,C
47,kira kalo mau pisah mana minum mana minum malem tco omb,C
48,tidur pake headset takut budeg,C
49,kalian kalo aku kasih hadiah korek cowoku gpp malah lihat dukung ngeroko pinjem korek temennya buat ngeroko aku tadi nemu korek lucu niat mau kasih biar ga minjem minjem wdyt,C
50,guys help dong mau jual barang mending lz sp or tp,C
51,sender kelas sma sekarang jurus ipa sebenernya terus mau masuk psikologi saranin sender ga sender apa mungkin ajar kayak gimana kalo kalo linjur gitu,C
52,misal instagram privateterus nge tag orang instastory sana ga nge follback nge liat ga yah,C
53,buat xl mau tnya dong sender kuota data tp pas liat harga murah kalo sender beli paket data data bakal ilang ga tco,C
54,guys pernah beli ngl link prem gak ditampilin username nya tipe hp nya doang yah valid gak data,C
55,tanya dong emang twitt update jelek se mau update takut jelek bgt kalo ga update ga login baru,C
56,guys kan mastip nya kurang bulan kalau misal beli kuota buat bulan gak sih nambah mastip beli pulsa dulu btw kartu xl tco qqvjm,C
57,buka ig skrg aman ga sih sender blm buka ig semalem mau buka takut ilang huhuu,C
58,guys udah aman kalo buka ig,C
59,i g udah aman mau buka tp takut,C
60,kurang rangin deh share base isi aplikasi belah sw temen orang dekat kalau izin cf instagram buat nyari temen julid base,C
61,halo pejuanguny gimana nih siap buat masuk uny hmmm aku sih yakin kamu udah ajar biar nama jadi salah satu nama dapet kata umum snbp snbt sm tetap semangat giat ajar tco qlycu,E
62,halo ming barang kali mau baca au drpn rem tco xyrzsrfxfp,E
63,vit sini halo pieee,E
64,halo hyung bonbon tco yonronrxoa,E
65,halo sender izin aju diri betul rasa cocok kriteria kamu cari punya m rk he seung side face claim worry not confident about my ability to potray them tipe pacar bubbly talkative playful,E
66,halo bencana bot lapor dampak gempa sila balas gempa tco bhue,E
67,halo kak mamen kak temenna ngebully ak terus tco,E
68,halo nder sila,E
69,halo semua aku kangenkesiniiwh,E
70,aw kaget halo meng,E
71,halo tambah nomor anggota kuota akrab padahal kuota susah masuk tdk sesuai kuota tera kurang tco ckizsskhos,E
72,halo mayy dah males main twt aku hiks,E
73,gundul halo dek,E
74,ic halo mau jajan warunganime warunghq warunghaikyuu tco,E
75,posisi jejer ro cacing nk wes munggah tak halo singsemangat,E
76,kan ndek video klip e js double punch kui basement parkir to ahahaha cuman jokes btw dikomen sama sik featuring sama js lagu double punch nih halo,E
77,halo sender kalau memang mungkin nyangkut aja bukan arti kamu ga baik kurang jadi ga perlu bagai ayo semangat woah akhir kaya gitu semangat sender,E
78,halo bias kamu siapa fromis,E
79,baik ulang halo lebih milih matcha ketimbang taro,E
80,halo gimanaa yaa,E
81,halo sedia jasa gestun spaylater krediv indodana gopaylater langsung cair after co fastrespon langsung wa tera bio tco vshorkeshr tco rzaifzjo,E
82,halo mau jastip war tiket aurora bgt nih aku bantu langsung dm aja,E
83,halo mbak nana,E
84,halo ganteng tco,E
85,halo kakak baru rilis single temenan sekali join notre yu kak ct nya lucu semua jamin bikin kakak nyaman tco tco ffbkh,E
86,piksen ijo apa abu bebas sing penting halo dek,E
87,halo tania aku videographer jkt silah lihat tco budget diobrolin hehe,E
88,malem minggu halo bulan,E
89,halo halo gimana hari bro cakra,E
90,cardigan rajut bujang nct halo gaes aku mau rekomendasiin cardigan rajut biar sama sama bujang nct shopeehaul cardigan shopeeaffiliate shopeehaul koreanstyle racunshopee racunshopeemurah zonauang butuhuang nct jaemin jeno jaehyun taeyong tco orot,E
91,halo kak cdm thank you,E
92,halo jisung,E
93,halo sayang tco,E
94,halo halo hai ga apdol rasa kalo gak miror selfie wc tco kkchljselx,E
95,halo bang,E
96,halo bencana bot lapor dampak gempa sila balas gempa tco ctczqzdrkf,E
97,halo gaes tau gak sih kalo bank bangga semua catat kerja gemilang loh keren banget yakan kinerjabriq,E
98,halo evan,E
99,halo sering interaksi maaf wkwk gua kasih ava biru,E
100,halo kak aku noleh ga titip mf zoofess,E
101,halo dek,E
102,halo mau ikut arisan get hari aku jelasin detail nya dm komen aja yaa zonajajan zonauang,E
103,halo min mau tanya klo purwokerto purbalingga naik terminal bulupitu ga naik halte halte rajawali,E
104,halo kak jangan nyeret terimakasih matiin ritwit aku tco yzxktls,E
105,halo ka febii makas banyak atas baik yaa moga kamu selalu limpah rezeki kebahagian i hope christmas this year will be the best christmas for you sekali terimakasih ka forget to stay hydrated yaa tco,E
106,halo kak aku mau ngucapin makasih bnyak buat kaka tribune udh ngadain ga terima kasih mau bahagia buat temen carat smoga rezeki nya ngalir terus sehat selalu bahagia selalu moga kaka nya notice bias nya masing tco ajyj,E
107,halo kak aku open sharing gramdig fiksi fullprem asi lit sewa google play books lohhh tco uvnlf,E
108,halo kak aku gak titip mf zoofess,E
109,halo kak aku open sharing gramdig fiksi fullprem asi lit sewa google play books lohhh tco uvnlf,E
110,halo cuman fiksi abai typo timestamp btw kayak masuk short au soalmya hshshs enjoy,E
111,halo nero long time no see kamu apa kabar,E
112,cuaca ngga tanya apa kabar tak dengar telinga baik baik masa lalu,E
113,kagok banget perform deketan sama pas kabar jin keluar group denger kabar sih krn tau pcrn tp gak bukti foto ato apa nes cuma edar knetz aja apa i wish the best for jinni,E
114,apa kabar,E
115,astaga apa kabar gue pas exo debut gue smp skrng umur udah empat abad,E
116,apa kabar ngatain ksj banci karna ga wamil,E
117,alhamdulillah kabar baaaik mei apa kabs nich,E
118,hi bang dragaz apa kabar,E
119,anak apa kabar sehat udah berapa lama nganggurnya saran usaha keren gaji tinggi masuk ga braw,E
120,ganteng apa kabar makan banyakkk,E
121,baru kli dibilangin cari cuan sini apa kabar sama grup ntah berapa kali sering kesini nonton video jangan goreng tco ylnwjmk,E
122,tinggal bias out grup udah tinggal bias nikah udah tinggal bias tinggal udah hati apa kabar wkwkwk moga sekarang baik baik aja,E
123,hihu hihu apa kabar gin dulu aja lah alon alon asal lakon yoi gitu aja thanks for reading see you on the next update tco wssu,E
124,hi bang jek apa kabar,E
125,miss u too bebi apa kabar,E
126,arti gilir inisiatif nanyain kabar gimana udah dapet baru apa balika ama lama,E
127,bang kaidan apa kabar,E
128,life apa kabar bandung hihi aku lega rasa nonton tangis air mata walaupun dikit gapapalah penting sekarang aku hehe mungkin ikhlas mungkin aku lebih rela tco ldr,E
129,apa kabar juniordanyw,E
130,iyanih fitur ig gue bales chatnya dosen gue bgst gue kira nanya gue apa kabar anjinggg,E
131,cakap remaja perempuan buah warung a gua th th b lah iya yah asa tua bgt gua gua apa kabar ajg kalo th asa tua,E
132,au si rifan apa kabar min,E
133,hari chat sok tanya kabar trs ujung bilang kalo diri sombong wkwkwk lucu bgt malah ngatain dahal apa sombong sy klo km muncul lg dengn chat gin tuh jd inget kelakuanmuu aku mau hps kontak jg ntar dulu deh kyknya blm waktu tepat,E
134,wkwkwk bul apa kabar dah move on blm,E
135,apa kabar kak juniordanyw,E
136,huni kapal bluesy apa kabar tco egtu,E
137,emang kenapeee malah lebih dr mau bilang rakus apa kabar,E
138,apa kabar notaris ppat iship taun ga gaji,E
139,haloo apa kabar,E
140,assalamualaikum lambung apa kabar sehat,E
141,hi bang gavin apa kabar,E
142,neira apa kabar,E
143,hello fems apa kabar moga sehat yaa fvlog udah tayang nih fems vlog kali bakal nunjukin seru lama short trip loh wah ngapain aja langsung cek link bio gais tco,E
144,chat aja hallo apa kabar inget gue gak kan pikir siapa tau hati paling rasa kangen buat ngobrol lg yaudah coba rekam lg wkwk,E
145,sepatu sekarang mahal sekali apa kabar tahun depan,E
146,hai hai apa kabar yorobun longtime no see karna bulan ga hts tco cwmb,E
147,hi pejoy apa kabar,E
148,apa kabar kata sahabat ninggalin sahabat sendiri,E
149,teh cancii apa kabar,E
150,halo apakabar pacar heesung,E
151,apa kabar aku kangen kayak hari kemaren engga ngobrol,E
152,haloo apa kabar,E
153,hybe segala aja ditawarin gidle lah apa cari talent sendiri napa dah do sm susah buat jadi soloist apa kabar svt hybe aja jauhh lebih susah susah solo tco sdlu,E
154,biyu apa kabar,E
155,unpad apa kabar,E
156,salam kenal apa kabar,E
157,apakabar,E
158,aku baik kamu apa kabar,E
159,uas mu apa kabar,E
160,makin cakep aja apa kabar a,E
161,akhir okt gin bgt liat crush foto sm cewe masukin story judul laguny lover,N
162,hari sender ultah udah mau ganti hari gaada ucapin sender balon balon pas buka accpun gaada gkpapa sih agk sedih dikit gin hehehe,N
163,kalo diinget sedih dikit sksk tco tyjilpwpjj,N
164,cw tw alkohol alcohol im sorry for asking buat udah cukup umur legal do any of you have alcohol recommendations for beginner btw aku udah diizinin ortu buat minum titip,N
165,sffh mwu mwtwlan sama rant brisik,N
166,oktober sucks,N
167,hmm hmm hmm tco gymwmyghtb,N
168,busett indihome deh faghhh,N
169,wa cowoku ngomong gt kondisi aku kmrn pake baju kemeja sm rok panjang karna mamah tinggal jd aku ga mikirin baju aku gmna make aja mungkin aku liat isi sedih si mungkin niat ngehibur aku baru hari tinggal mamah cuma cont,N
170,hidup kadang tak adil,N
171,hloe guise crush aku wibu aku kpopers bye dulu oppa korea ak mw pacar sama cwok enimku tlg dong gais kiat mnjdi cewek enim,N
172,sender join panitia trs tdi pas lgi encok nya ngurus tetiba ad kk panitia tamvan sender bru liat sihdia jrng kontribusi yh tdi brdiri dpn sender sngat pelukable pen back hug smbl blng kok bru liat kakak tamvan maybe jwb iyhsoalnya bru nyadar ad kmu,N
173,udahan sih acara kue sus nya takut banget mau tidur jadi was was,N
174,say you love me,N
175,pap chat terandom kalian sama doi dong xixi,N
176,ga salam kenal asal nanya gue siapa lha siapa ngechat gue tco hpcsbd,N
177,tugas kelompok hapus punya anggota kelompok beban banget taiii,N
178,mager bgt,N
179,leaked baru samsung series belakang polos banget tco isr,N
180,darlin your love language is blocked me right,N
181,icad siapa temen sender sering bkin status ginian orang kenal sender kaya baru keluar goa tco tho,N
182,nyata lama aku main sama cowok org ga ngasih tau klo udh punya pacar aku cerita cewek aku malah dikasiani ngomong gin aku jadi gatega aku sedih bgt hilang arah aku kudu gimana titip tco,N
183,aku baru ngetik terus send chat temenku online terus pas kirim terus centang last seennya temenku terus aku hapus chat on arti gak mau dichat,N
184,aku curiga kalo malem telpon sama aku telpon aja kali buat mastiin,N
185,buat anak kos boros hemat at the same time hikss dilema y n tco ppox,N
186,hi i just broke up hehe,N
187,sender pms parah sama telat tp tipe people pleaser badmood nya teken dalem mnta semangat kalian ga cape bgt rasa ken nang mulu sek cr tco hphlyk,N
188,guys sayap punya ayam tebrang ga terus kalian kalau jedot galon nang ga,N
189,tw mentioning mental illness sender cape bgt udah tahun lebih obat sampe sekarang rasa nemuin obat bener pas minum jangka panjang ato ga ngurangin dosis coba terus efek macem sering cemas kalo alam cont,N
190,ortuku jadi toxic gin sihh satu selingkuh satu chat mulu sm suami orang mau nang aku liat tp gabisa apa mnaa skripsi pgn minggat rasa kalo dah punya kerja,N
191,cepet banget udah november kalian ngerasa taun cepet banget ga si,N
192,kesel banget ga si kalo buka trending twitter isi nya ga sesuai,N
193,sedih ga sempet nang cape bgt gue hari rencana nang tunda besok tp abis tidur ma sedih yauda gitu aja curhatnya anw welcome novemberrr,N
194,pernah gak sih diem terus tiba tiba pikir do i like him that much asdfghjklqwertyuiop,N
195,ga punya pacar ga nyakitin tetep dengerin lagu galau brutal dispotify cung tco,N
196,kalo cowok udh blg maaf aku butuh sendiri dlu arti pgn sendiri ga mau hubung lg beneran ga si cuma alesan doang,N
197,bilang beban ga hasil sama ibu sendiri padahal ibu tau aku sampe skrg usaha aku tp kalau blm mau nerima kerja aku apa aku hak buat sedih kan,N
198,sender tdi bantuin tmn ngerjain tugas kuliah trs nyesek pas ngomong ko si ngerjain soal kan ajar kuliah ko ngerti syg bgt pinter ga kuliah udah cmn mau crta aja,N
199,adekku jam gin blg kak besok suruh buat tabung karton walaupun marah ttp aku jwb yaudah titip karton tetap dikerjain untung suruh cangkok biji jambu km kalau iy dah aku obrak abrik isi rumah,N
200,kadang ngasih sempat gaperlu soal malah lebih disepelein,N
201,ikan hiu makan tomat gak lah hiu kan ovovivivar,N
202,guys tolongg bgt dong marahin aku dong plss aku kmrn beli pc photocardd bias ku skrng jadi ken beli lagiii soal pc bias ku tuh aduhh lucu bgt ishhh aku gamau ngeluarin duit trs nyesel gmn yahh aduh pgn beli bgt marahin cont,N
203,dongg aaa,N
204,kirain kosong nyata already have a crush tco,N
205,beberapa bulan lalu aku deket naksir sama orang udah engga turut kalian mending confess sekarang engga biar lega aja sih aku mau lepasin aku udah ga pernah ngobrol irl chat satu departemen kampus,N
206,gila kamar sama wc sender tiba semua lampu mati kipas mati pas aku liat saklar lampu turun colok kipas lepas sendiri,N
207,awal putus sebenernya aku sayangg banget harap kamu ubah kangenn banget yaudah mungkin emang ga jodoh,N
208,wajar ga ken panggil cantik bilang cantik sama pacar sender panggil cantik sama pacar sender diitung jari alias jarang bgt,N
209,yeah i miss you tco luj yzoan,N
210,and letting go,N
211,when you love someone willing to learn about them and everything that excites them,N
212,kurang dr bulan lalu mohon balik ekwkw tp cepet banget skrg moveon ahhaha taheee,N
213,bm pop es bangettt padahal hujan deres udah nahan jam gak tidur,N
214,habis gaji diri sendiriii,N
215,im done mau coba akrab read doang gin nyerah aku aku cerewet makin jijik resah tco chuytegf,N
216,terkadang beberapa orang ngatur cara bahagia orang terima beda aja susah bener lama ga ngerugiin kalian,N
217,teman kuliah semester atas lucu cuyyy ytta,N
218,cari gas buat masak knp susah bgt dehhmmm kan suruh sampe dapet,N
219,klik trending isi orang jual doang ganggu banget,N
220,if tomorrow exist what will you do,N
221,trust issue tco,N
222,muslim aku mau nanya dong gas doa buat tenang batin isi kepala kemarin berisik bgt semua jdi serba ga fokus masuk solat tdi sempat salah,N
223,sumpa aku gasuka hari selasa huhu aku mau tidur hari aja,N
224,aku jarang minta sama orang temen temenku kadang bilang kalau butuh bilang cuman udah biasa lakuin sendiri aku ga gitu minta kalau udah ga ngatasin sendiri contoh ga gerak jadi pikir kalau aku cont,N
225,anggap sombong sama orang orang aku biasa mikir kalau minta bantu orang butuh balas padahal aku kalau nolongin orang ga pernah ngarep balesan aku apa aku terlalu tutup,N
226,yhaa diginiin tco,N
227,mau first meet sama cowo anon tele doain abis ketemu kaga ghosting ygy,N
228,bimo maafin aku mulu,N
229,gue abis mimpi pacar sama crush gue twitter seru bgt mimpi anjrt langsung sedih,N
230,sedih bgt crush malah temen gue sendiri,N
231,crush ngejauh insecure sama gaya hidup aku padahal cuma update makan bk sama br doang sedih banget but i know my worth and its totally their loss anyway,N
232,pusing banget orang tua lengkap ngeributin masalah finansial mulu,N
233,pls noticeee punya meme ikan hiu makan tomat gakk sender butuh huhuu,N
234,cowok kalo insecure sama gaya hidup cewek langsung mundur gitu padahal gue gapernah nuntut apa apa,N
235,kalau sama pacar rasa ken jadi orang lemah ken jadi bayi manja manja only kalau sama orang langsung grrr sangaar,N
236,aja sekarang lebih takut semua dihadepin sendiri gabisa kabur wajar gasih aku capek kayak gin terus gatau hrs gmna,N
237,pernah ga pikir tiba tiba mau hilang aja satu minggu biar tau nyariin khawatir sama siapa aja,N
238,kalian pernah fase baru berangkat sekolah rasa ken langsung pulang gegara kelas ngerasa sendiri g punya temen,N
239,gimana cara ikhlas sama gimana mantan nyakitin aku kadang ngerasa gak adil udah bahagia sama pacar baru aku struggle sama trust issues aku buat sama,N
240,aku teman sama semua orang tetep ngerasa sendiri ken tau rasa kalai cerita baru langsung nyari aku tco,N
241,kopi ku jatoh gaissedi bgtpdhl lg bm tco yftk,N
242,capek banget ril tco mjirs,N
243,gin banget nasib jadi figuran circle selalu aja tinggal ga ajak haha,N
244,ken sukses kerja scroll twitter,N
245,tuju poin ngebayanginnya aja udah merinding biar latih perang senjata api tetap manusia milik rasa takut sama mati jangan disamain main free fire pubg sama counter attack,A
246,tuju,A
247,tuju,A
248,nah tuju nih aylopyu,A
249,tuju,A
250,tuju gus,A
251,aku curhat ttg crush emak emakku sgt tuju masalah orgnya mau g,A
252,tuju,A
253,tuju gus muhaimin,A
254,duh bener nyata iya tuju banget beneran jarang nemu au ambil sudut pandang masyarakat tengah bawah kyk cerita,A
255,tuju gus,A
256,sangat tuju sekali kak bikin hati jadi tenang,A
257,tuju arthur mulai peperangan,A
258,tuju,A
259,tuju mamubenda baik kena sokongpuak puak tiktok insta kira nak ambik gmbaq jabkn nak nikmat makan tu he he,A
260,cowok kalau udah nang begini tanda sayang banget iya sayang sama ban sp sport sih soal bikin nyaman senyap buat ajak unlimitedjourney mana tuju kan drivemate experiencewithdunlop dunlop dunlopindonesia unlimitedjourney tco,A
261,tuju bgt kalo gatel langsung kurang kalo aku,A
262,iya tuju jelas buat asumsi liar asumsi liar investasi bwt podcastny dijadiin corong,A
263,tuju semua buka gak anti kritik kritik jg konstruktif sifat bangun destruktif,A
264,tuju gus,A
265,tuju bong krn datang quran dungu ubah jadi akal sehat cebong mana ngerti,A
266,tuju,A
267,aku tuju ganti si ca jujur salah ketik mulu mau rekomen temen,A
268,gue vt buat lo sorry banget gue ngetawain kali menit critanya bapak ga tuju krn jn cm jual pop ice tco,A
269,tuju gus,A
270,tuju orang asing kalau kilang tak elaun just gaji basic je apa diaorg sanggup lari cari kilang tau,A
271,semua tuju,A
272,tuju gus,A
273,tuju digebukkin tco,A
274,iyaaa tuju,A
275,tuju bubar pak presiden krn sdh tdk punya taring alias ompong,A
276,tuju,A
277,influenced by jane bilang makeup sendiri pas nikah krn pen pake mua pas nikah aja biar pangling w jadi tuju wisuda besok makeup sendiri aja dah mua nya pas nikah aee,A
278,sangat tuju gus muhaimin kritik bangun,A
279,tuju,A
280,tuju tum ahy ahypimpinperubahan,A
281,yess tuju,A
282,tuju,A
283,sy tuju min,A
284,tuju bantu sekali mantap bangga tco ganjarhebat,A
285,tuju,A
286,kalau kata pernahsaya tuju,A
287,apa tuju,A
288,siaaap tuju gus kritik bagaimana jadi masuk lebih tingkat kualitas lebih baik,A
289,tuju guss mantap,A
290,sangat tuju gus muhaimin,A
291,nah kalau aku tuju kak,A
292,tuju gus,A
293,tuju banget bersamajuara ridwankamil tco htjmmnfwsz,A
294,tuju sering salah tempo keburu mahasiswa bilang teknik wkwkw,A
295,lol tuju rasa sakit org lg happy another level of sakjiw iya jiwa sakit sila sembuh dulu biar ga ketrigger pas main sosmed,A
296,sip tuju,A
297,tuju bantu sekali tco wgea jokowihebat ino harianto polresta balam,A
298,tuju,A
299,tuju budidaya kelapa genjah waktu panen relatip cepat buah lebat,A
300,tuju,A
301,tuju guse,A
302,tuju,A
303,nder tuju banget kejuuu enak parah aku sama pacar bangettt,A
304,tak tuju,A
305,nek iki rodo tuju,A
306,kelas pak dudung selaku kasad tdk perna klaim opm terorisbahkan dunia internasional tdk tuju sebut teroris jadi ngada,A
307,kata cadang tu muhyiddin kalau kata cadang mana mungkin ydpa minta utk sign dokumen tuju tolak cadang baginda kalau bukan gabung dah ydpa panggil istana bangang hg ni sbb ni kalau gabung cukup la simple majority,A
308,heh iyaaa tuju bgttt love jg jd lagu no paling dr dulu smp skrng selalu nangkring paling pertama wkwkwk enak bgt soal apa lg haechan candu bgt,A
309,tuju gus muhaimin kritik konstruktif perlu,A
310,tuju gus,A
311,tahun mula internet fiber wujud la sekarang dah hujung nak masuk alas at least xx duduk tuju baru tarik kabel tak fiber semua tempat padahal tm monopoli kot tco,A
312,tuju dasar orang punya rejekinya masing,A
313,hehe gak tuju,A
314,tuju,A
315,pas gue jd headhunt kl nyari org kedapet cv model gtu emg dsuruh skip krn anggap ntar ga kompeten gtu gue tuju ama salah repnya kl beda budaya jaman dlu ama skrg tco xccr,A
316,tuju gus,A
317,semua orang tuju ikeu sangat gemas lucu,A
318,hehe tuju sih ronaldo pernah lebih baik,A
319,tuju,A
320,tuju nih,A
321,tuju tp knp minimal admin dr minimal dr dar aparat kait apa ga lihat pura cuek soal begini,A
322,tuju,A
323,pp mu jelas semua aku tuju bola bulu tepok,A
324,wkwk tuju bolong bre,A
325,tuju bang,A
326,tuju gus,A
327,tuju cak imin apa bupati meranti juang tingkat miskin ekstrem tinggi moga solusi,A
328,tuju,A
329,tuju,A
330,tuju tco pcljbbnyya,A
331,tuju walaupun story linenya standar visual gila cantik banget apa visualisasi bawah laut juara,A
332,eh aku tuju tuh haje au belah sering bnget jd anak bandel nya tiap kali ku baca aku ampe kyak aelah asa dpet peran nya gk jauh dr kalo bner jd cast tmen ama si per utama au nya keitung jari,A
333,tuju anjing aja masuk surga nah kl kadal gurun,A
334,even tak pernah keluar dating i tuju,A
335,tuju gus terkadang buah kritik buat makin maju,A
336,tuju gus terkadang sekal kritik perlu bs bangun motivasi lebih baik lg,A
337,tuju tco,A
338,tuju mediocre only tco dmyqbwrqsh,A
339,tuju gus,A
340,tuju tepat sekali,A
341,bwner bgt tuju ky ni duit pake apalahi,A
342,tuju sih tp biar messi fix jd goat kalo menang pd tetep lebih ngefans sama ibarat lebih telor dadar padang rendang nobat jd makan enak dunia,A
343,maaf ga tuju maksud ga semua tuju jugakansoalnya aku rarepair aku nemuin tulis aunya gapernah masukin pair populer awal aku mikir persis gin pas lihat nyata gasemua kaya gitu tco zsma,A
344,jeno sm karina pacar aja si kata gue mamak kau tuju ayo rugi kalo ga pacar,A
345,cadang nama twitter baru rse ssuai antoine griezleman mal pon dh tuju tu bole proceed jap lg laa ni,A
346,tuju,A
347,tuju bgtt pak anies sosok toleran itstime tco kiiojbdogi,A
348,tuju gus positif thinking,A
349,baru kali tuju ama buzzer wkwk,A
350,tuju perintah tegas,A
351,tuju banget skill gak banyak pilah pilih kalo tuju emg pgn gaji gede karna iring jalan waktu kalo emg punya skil alam kerja nyari bukan nyari,A
352,tuju gus jadi buah kritika jadi suatu motivasi bangun negri,A
353,tuju gus muhaimin iskandar,A
354,tuju,A
355,tuju kritik masuk baik makin maju,A
356,alexis sanczhes main baik dunia retweet tuju,A
357,jujur tuju bgt baca narasi kayak namparr aku hahaha makas kak dhanii tco,A
358,ketik kalau tuju wony gemes banget,A
359,tuju asli,A
360,hi kak rdw bantu twitter mohon maaf kait bonus balas tuju tanya langsung via dm info detail nomor thanks,A
361,gue tuju orang rumah nerima makan salah tanya dulu gak beli makan trus driver biasa kan dulu pesan kak blablabla biar gk salah alamat tco tgbzucayiz,A
362,tuju gus terkadang kritik jadi kan motivasi depan,A
363,tuju gus muhaimin,A
364,surat tuju terima sign tak tanya kali,A
365,sangat tuju soal banyak org dlm tanda kutip malas kata rezeki udah ngatur mau keras apa tetep gin aja tutup kalo enggan laku progress kerja keras tuhan jadi beri rezeki upa ex sehat,A
366,tuju terorisme berantas ham jadi dalih lebih dulu harga hidup manusia,A
367,tuju,A
368,yup tuju mcm tgk drama turkey,A
369,tuju,A
370,tuju ni diam orang mention diam juburrr tco,A
